,,,,,Date,,,,1/18/23,,6/30/23,,2/19/24,,,,,,,
,,,,,,,,,Invoice #1,,Invoice #2,,Invoice #3,,Invoice #4,,Total To-Date,,Remaining,
,,,,,,Amt per Unit,Number,Contract Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Total To-Date Number,Total To-Date Amt,Remaining Number,Remaining Amt
,,,,,Set up: GIS Data,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Set up: Website Customization,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Set up: Graphic Design,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Annual Site License,$0.01,"213,000","$2,130.00","213,000"," $ 2,130.00 ",0, $ -   ,0, $ -   ,0, $ -   ,"213,000"," $ 2,130.00 ",0,$0.00
,,,,,Summary Eval,$1.01,5,$5.05,5, $ 5.05 ,0, $ -   ,0, $ -   ,0, $ -   ,5, $ 5.05 ,0,$0.00
,,,,,Social Media Collaboration,$1.02,25,$25.50,25, $ 25.50 ,0, $ -   ,0, $ -   ,0, $ -   ,25, $ 25.50 ,0,$0.00
,,,,,CGEE Consulting,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Postcard,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Metal Signs,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Coroplast Signs,$1.03,100,$103.00,0, $ -   ,15, $ 15.45 ,20, $ 20.60 ,0, $ -   ,35, $ 36.05 ,65,$66.95
,,,,,Welcome Packets & Cards,$1.04,100,$104.00,0, $ -   ,15, $ 15.60 ,20, $ 20.80 ,0, $ -   ,35, $ 36.40 ,65,$67.60
,,,,,Packet Distributions,$1.05,100,$105.00,0, $ -   ,15, $ 15.75 ,20, $ 21.00 ,0, $ -   ,35, $ 36.75 ,65,$68.25
,,,,,Clean up Claws,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Subtotal,,,"$2,472.55",," $ 2,160.55 ",, $ 46.80 ,, $ 62.40 ,, $ -   ,N/A," $ 2,269.75 ",N/A,$202.80
,,,,,10% Indirect,,0.10,$247.26,, $ 216.06 ,, $ 4.68 ,, $ 6.24 ,, $ -   ,N/A, $ 226.98 ,N/A,$20.28
,,,,,Total Amt,,,"$2,719.81",," $ 2,376.61 ",, $ 51.48 ,, $ 68.64 ,, $ -   ,N/A," $ 2,496.73 ",N/A,$223.08
,,,,,Total on Contract,,,,,,,,,,,,,,,
,,,,,Difference,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,2024,2022-24 Contract,,,,,,,,,,,,,
,,,,,Invoice Number,,,,,,,,,,,,,,,
,,,,,Date,,,,CIV-1959 [Link],,,,,,,,,,,
,,,,,,,,,Invoice #1,,Invoice #2,,Invoice #3,,Invoice #4,,Total To-Date,,Remaining,
,,,,,,Amt per Unit,Number,Contract Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Total To-Date Number,Total To-Date Amt,Remaining Number,Remaining Amt
,,,,,Set up: GIS Data,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Set up: Website Customization,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Set up: Graphic Design,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Annual Site License,$0.01,"213,000","$2,130.00","213,000"," $ 2,130.00 ",0, $ -   ,0, $ -   ,0, $ -   ,"213,000"," $ 2,130.00 ",0,$0.00
,,,,,Summary Eval,$1.01,5,$5.05,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,5,$5.05
,,,,,Social Media Collaboration,$1.02,25,$25.50,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,25,$25.50
,,,,,CGEE Consulting,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Postcard,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Metal Signs,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Coroplast Signs,$1.03,100,$103.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,100,$103.00
,,,,,Welcome Packets & Cards,$1.04,100,$104.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,100,$104.00
,,,,,Packet Distributions,$1.05,100,$105.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,100,$105.00
,,,,,Clean up Claws,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Subtotal,,,"$2,472.55",," $ 2,130.00 ",, $ -   ,, $ -   ,, $ -   ,N/A," $ 2,130.00 ",N/A,$342.55
,,,,,10% Indirect,,0.10,$247.26,, $ 213.00 ,, $ -   ,, $ -   ,, $ -   ,N/A, $ 213.00 ,N/A,$34.26
,,,,,Total Amt,,,"$2,719.81",," $ 2,343.00 ",, $ -   ,, $ -   ,, $ -   ,N/A," $ 2,343.00 ",N/A,$376.81
,,,,,Total on Contract,,,,,,,,,,,,,,,
,,,,,Difference,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,2021,2021 Contract,,,,,,,,,,,,,
,,,,,Invoice Description:,Mistake in math on contract. Looks like the Welcome packets and cards ($110) were not included in the total even though they are shown in the budget.,,,,,,,,,,,,,,
,,,,,Invoice Protocol:,,,,,,,,,,,,,,,
,,,,,Notes:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Invoice Number,,,,CIV-935 [Link],,,,,,,,,,,
,,,,,Date,,,,12/10/20,,,,,,,,,,,
,,,,,,,,,Invoice #1,,Invoice #2,,Invoice #3,,Invoice #4,,Total To-Date,,Remaining,
,,,,,,Amt per Unit,Number,Contract Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Total To-Date Number,Total To-Date Amt,Remaining Number,Remaining Amt
,,,,,Set up: GIS Data,$2.01,5,$10.05,5, $ 10.05 ,0, $ -   ,0, $ -   ,0, $ -   ,5, $ 10.05 ,0,$0.00
,,,,,Set up: Website Customization,$2.02,5,$10.10,5, $ 10.10 ,0, $ -   ,0, $ -   ,0, $ -   ,5, $ 10.10 ,0,$0.00
,,,,,Set up: Graphic Design,$2.03,5,$10.15,5, $ 10.15 ,0, $ -   ,0, $ -   ,0, $ -   ,5, $ 10.15 ,0,$0.00
,,,,,Annual Site License,$0.01,"213,000","$2,130.00","213,000"," $ 2,130.00 ",0, $ -   ,0, $ -   ,0, $ -   ,"213,000"," $ 2,130.00 ",0,$0.00
,,,,,Summary Eval,$1.01,5,$5.05,5, $ 5.05 ,0, $ -   ,0, $ -   ,0, $ -   ,5, $ 5.05 ,0,$0.00
,,,,,Social Media Collaboration,$1.02,25,$25.50,25, $ 25.50 ,0, $ -   ,0, $ -   ,0, $ -   ,25, $ 25.50 ,0,$0.00
,,,,,CGEE Consulting,$1.03,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
,,,,,Coroplast Signs,$1.04,100,$104.00,100, $ 104.00 ,0, $ -   ,0, $ -   ,0, $ -   ,100, $ 104.00 ,0,$0.00
,,,,,Welcome Packets & Cards,$1.05,100,$105.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,100,$105.00
,,,,,Packet Distributions,$1.06,100,$106.00,100, $ 106.00 ,0, $ -   ,0, $ -   ,0, $ -   ,100, $ 106.00 ,0,$0.00
,,,,,Subtotal,,,"$2,505.85",," $ 2,400.85 ",, $ -   ,, $ -   ,, $ -   ,N/A," $ 2,400.85 ",N/A,$105.00
,,,,,10% Indirect,$0.00,0.00,,,#REF!,,#REF!,,#REF!,,#REF!,N/A,#REF!,N/A,#REF!
,,,,,Total Amt,,,"$2,505.85",,#REF!,,#REF!,,#REF!,,#REF!,N/A,#REF!,N/A,#REF!
